ID,GID,cantidad_personas,max_dias_acumulacion
0,133997.0,70.85476190476192,3.0
1,133996.0,65.95714285714287,3.0
2,133988.0,66.35714285714286,3.0
3,133960.0,65.82642857142858,3.0
4,133944.0,65.82642857142858,3.0
5,133959.0,72.83809523809524,3.0
6,133942.0,72.83809523809524,3.0
7,133940.0,86.09404761904764,2.0
8,133911.0,115.30476190476192,2.0
9,133995.0,109.61738095238096,2.0
10,134072.0,103.46238095238095,2.0
11,134039.0,107.00952380952384,2.0
12,134037.0,86.29841269841269,2.0
13,133998.0,57.31952380952381,3.0
14,133999.0,57.31952380952381,3.0
15,134073.0,70.95642857142857,3.0
16,133916.0,93.33285714285716,2.0
17,135152.0,146.23428571428573,1.0
18,133923.0,134.03428571428574,1.0
19,133910.0,86.69809523809525,2.0
20,133928.0,126.06666666666668,2.0
21,133986.0,66.03142857142856,3.0
22,134065.0,87.44119047619047,2.0
23,134068.0,40.64785714285715,5.0
24,134066.0,86.21285714285715,2.0
25,134052.0,63.16,3.0
26,134009.0,103.52952380952382,2.0
27,134067.0,122.28,2.0
28,133990.0,68.98095238095239,3.0
29,133941.0,92.16761904761908,2.0
30,133957.0,129.544126984127,2.0
31,133939.0,131.8584126984127,2.0
32,133907.0,76.22761904761904,3.0
33,143472.0,144.80507936507937,1.0
34,133956.0,63.29333333333334,3.0
35,143473.0,144.80507936507937,1.0
36,133973.0,74.31380952380952,3.0
37,133901.0,55.22095238095238,4.0
38,133987.0,61.29809523809524,3.0
39,133961.0,57.70666666666666,3.0
40,133895.0,56.00690476190477,4.0
41,133919.0,70.87309523809525,3.0
42,135952.0,71.08166666666666,3.0
43,133974.0,96.75555555555556,2.0
44,133925.0,69.83412698412698,3.0
45,133924.0,114.24761904761904,2.0
46,135972.0,124.68650793650794,2.0
47,133908.0,117.46666666666668,2.0
48,133918.0,112.5504761904762,2.0
49,133922.0,79.65809523809524,3.0
50,133892.0,69.17,3.0
51,144492.0,109.67142857142858,2.0
52,133899.0,100.62761904761906,2.0
53,133938.0,106.16714285714286,2.0
54,133937.0,106.20714285714288,2.0
55,133985.0,70.70500000000001,3.0
56,133902.0,99.91428571428573,2.0
57,133927.0,56.21428571428571,4.0
58,133900.0,96.02761904761908,2.0
59,133898.0,92.22761904761906,2.0
60,133954.0,89.61666666666667,2.0
61,133930.0,52.914285714285725,4.0
62,133975.0,52.914285714285725,4.0
63,133948.0,161.01666666666668,1.0
64,133929.0,182.9333333333333,1.0
65,133965.0,62.747619047619054,3.0
66,133993.0,62.747619047619054,3.0
67,136254.0,26.723809523809525,7.0
68,133950.0,30.566666666666663,7.0
69,133921.0,44.20071428571429,5.0
70,133894.0,44.20071428571429,5.0
71,133943.0,67.78,3.0
72,134832.0,53.355,4.0
73,133964.0,76.34285714285714,3.0
74,133962.0,85.35714285714285,2.0
75,133949.0,82.61428571428571,2.0
76,136872.0,91.09428571428576,2.0
77,150576.0,93.97428571428574,2.0
78,134074.0,38.467936507936514,5.0
79,134045.0,38.467936507936514,5.0
80,133909.0,85.63142857142859,2.0
81,164073.0,151.2371428571429,1.0
82,145092.0,41.718095238095245,5.0
83,136912.0,42.611428571428576,5.0
84,134085.0,97.80666666666669,2.0
85,134061.0,109.67333333333336,2.0
86,133917.0,31.96071428571429,6.0
87,133955.0,24.66071428571429,8.0
88,134001.0,37.50793650793651,5.0
89,145072.0,34.88214285714287,6.0
90,145053.0,33.532142857142865,6.0
